symbol,marketCap,sector,industry,avgVolume,price,pe
005930.KS,668309930377216.0,,,21571557.0,97200.0,
9984.T,30159172272128.0,,,18748808.0,19780.0,
7267.T,6091841732608.0,,,15867454.0,1556.5,
0700.HK,5942946037760.0,,,17386071.0,641.0,
9988.HK,3092250886144.0,,,125520488.0,154.9,
7453.T,1752390434816.0,,,10757022.0,3248.0,
V,648599830528.0,,,5808882.0,330.02,
9888.HK,347071086592.0,,,20503737.0,117.1,
AZN.L,209782620160.0,,,2062447.0,13532.0,
T,182553329664.0,,,46163750.0,25.59,
C,180125433856.0,,,13075459.0,100.3,
9866.HK,125672931328.0,,,10665870.0,49.36,
MMM,90637615104.0,,,2947679.0,167.58,
BP.L,70667624448.0,,,27107373.0,460.8,
B,62984433664.0,,,21331568.0,37.03,
E,56954306560.0,,,245442.0,38.22,
F,52914139136.0,,,89610273.0,13.19,
O,52250648576.0,,,5586475.0,56.8,
D,51977703424.0,,,4717195.0,60.56,
A,41643376640.0,,,1703278.0,146.82,
K,28989747200.0,,,2729403.0,83.32,
L,21577326592.0,,,768881.0,104.41,
J,18457626624.0,,,878567.0,154.41,
Q,17990348800.0,,,3119340.0,83.48,
Z,16938716160.0,,,2930921.0,68.8,
U,15901242368.0,,,10925581.0,36.72,
H,14445728768.0,,,946218.0,152.3,
W,13879702528.0,,,3918187.0,101.94,
AMH,13388482560.0,,,2825362.0,31.99,
G,7767269888.0,,,1955740.0,44.89,
R,6883795968.0,,,349560.0,170.49,
HUT.TO,6319470080.0,,,1719507.0,51.67,
S,5533507584.0,,,5983467.0,16.79,
M,5388910592.0,,,8855075.0,19.99,
HUT,3990873088.0,,,7383070.0,36.94,
CCC.L,3033075456.0,,,217011.0,2892.0,
